,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
3,507,Attila brahm,M,25.0,192.0,88.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
6,1025,Attila Adrovicz,M,30.0,189.0,87.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
16,3880,Agneta Monica Andersson,F,23.0,172.0,68.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
17,3880,Agneta Monica Andersson,F,31.0,172.0,68.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
28,6505,Bjrn Bach,M,24.0,195.0,92.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
29,6505,Bjrn Bach,M,28.0,195.0,92.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
30,6776,Nathan Baggaley,M,28.0,193.0,90.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
31,6776,Nathan Baggaley,M,28.0,193.0,90.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
36,7177,Ledys Frank Balceiro Pajn,M,25.0,178.0,78.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
37,7177,Ledys Frank Balceiro Pajn,M,29.0,178.0,78.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
39,7695,Pawe Baraszkiewicz,M,23.0,174.0,86.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
42,8053,Alexandra Barr (Sandor-),F,26.0,173.0,59.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
49,8728,"Wilhelm Bernd ""Willi"" Baues",M,23.0,182.0,79.0,West Germany-1,FRG,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
50,8780,Daniela Baumer (-Tenger),F,24.0,168.0,65.0,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
51,9089,Maxime Eugne Ren Beaumont,M,34.0,191.0,94.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Silver
52,9209,Marcus Becker,M,22.0,180.0,72.0,Germany-1,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
56,10084,Per-Inge Bengtsson,M,22.0,184.0,78.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
57,10084,Per-Inge Bengtsson,M,22.0,184.0,78.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
58,10259,Matej Beu,M,28.0,196.0,83.0,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
74,12382,Kay Bluhm,M,27.0,191.0,86.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
77,12741,Aleksandr Viktorovich Bogdanovich,M,30.0,191.0,97.0,Belarus,BLR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
79,12742,Andrey Viktorovich Bogdanovich,M,24.0,193.0,87.0,Belarus,BLR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
81,13276,Beniamino Bonomi,M,28.0,182.0,85.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
82,13276,Beniamino Bonomi,M,28.0,182.0,85.0,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
84,13276,Beniamino Bonomi,M,36.0,182.0,85.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
85,13401,Katrin Borchert,F,23.0,178.0,70.0,Germany,GER,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
89,13640,Antonel Boran,M,26.0,175.0,80.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
90,13806,Kinga Bta,F,26.0,180.0,69.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
92,13961,Jean Pierre Boudehen,M,25.0,175.0,68.0,France,FRA,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
100,14874,Bernard Brgeon,M,22.0,167.0,68.0,France,FRA,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
104,14991,Renate Breuer,F,28.0,165.0,68.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
106,15765,Caroline Brunet,F,27.0,175.0,70.0,Canada,CAN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
